Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,CV ROC-AUC (mean),CV ROC-AUC (std)
Gradient Boosting,0.866,0.7747035573122529,0.48157248157248156,0.593939393939394,0.8707305147983113,0.7210971575956817,0.8644070653273108,0.009336599218037525
HistGradientBoosting (Balanced),0.803,0.5110356536502547,0.7395577395577395,0.6044176706827309,0.864966661576831,0.7132396055545447,0.8614192774797509,0.010996477737782036
Random Forest,0.815,0.5336976320582878,0.7199017199017199,0.6129707112970711,0.8638669486127113,0.7097311959380906,0.857239649045083,0.010467836640101221
Logistic Regression,0.749,0.4343015214384509,0.7714987714987716,0.5557522123893806,0.8505038166055114,0.6618573360483544,0.8464235151351716,0.012340179755079164
Decision Tree,0.7595,0.4471428571428571,0.769041769041769,0.5654923215898826,0.8260309616241819,0.6417270635438674,0.8241052768441024,0.011330516991225469
