Metric,Mean,CI_Lower_95,CI_Upper_95
Accuracy,0.8445495,0.829,0.86
Precision,0.601262398504192,0.5567386863537401,0.6456329151056465
Recall,0.698070332358539,0.6542241444293683,0.7395745431952327
F1-Score,0.645781962330241,0.6107610661502768,0.6814871997888625
ROC-AUC,0.8707810467385049,0.8508474644115663,0.8906717335392901
PR-AUC,0.7212576881422798,0.6816495030479015,0.7588562118307752
